land_size_sqm,house_size_sqm,no_of_rooms,no_of_bathrooms,living_room_size,parking_space,front_garden,swimming_pool,distance_to_school,wall_fence,house_age,water_front,distance_to_supermarket_km,crime_rate_index,room_size,property_value
202 sqm,202,4,4,Large,0,1,Yes,2.4,1,3,0,4.2,1.98,2,187661
328 sqm,314,5,3,Small,1,1,Yes,2.1,1,15,0,3.5,3.96,1,267245
244 sqm,242,5,2,Large,1,1,Yes,6.2,1,9,0,6.6,0.92,1,207250
363 sqm,361,6,4,Large,1,1,Yes,6.5,1,17,0,2.2,0.42,2,307768
183 sqm,165,2,3,Small,1,1,No,0.1,0,16,0,1.8,0.45,0,154757
195 sqm,195,4,3,Large,0,1,Yes,5.2,1,18,0,0.1,1.04,2,179776
316 sqm,309,5,5,Small,1,1,Yes,3.9,1,1,0,0.7,0.88,3,283805
157 sqm,138,3,2,Large,0,0,No,3.6,0,20,0,4.8,2.94,1,102872
256 sqm,254,4,4,Large,1,1,Yes,4.8,0,17,0,0.7,1.25,3,196196
267 sqm,267,4,5,Large,1,1,Yes,3.5,1,9,0,3.6,2.91,3,233192
208 sqm,183,3,2,Small,1,1,No,5.7,0,3,0,1.4,3.83,1,155584
141 sqm,136,2,1,Large,0,0,Yes,2.6,0,17,0,6.4,2.06,1,113642
215 sqm,187,4,2,Small,1,1,Yes,2.2,1,11,0,0.2,1.3,2,211885
147 sqm,140,2,1,Large,1,1,No,0.8,0,6,0,3.2,0.22,1,130832
194 sqm,166,4,5,Large,1,0,Yes,3.5,1,20,0,4.1,0.91,2,176478
124 sqm,118,1,1,Small,0,0,No,2.1,0,8,0,3.4,0.48,0,88784
303 sqm,281,4,4,Large,1,1,Yes,4.3,1,16,0,3.4,2.24,3,254698
247 sqm,237,5,3,Small,1,1,Yes,6.7,1,2,0,3.4,4.45,3,196372
125 sqm,112,2,3,Small,0,0,Yes,5.2,0,6,0,5.6,5.87,0,82139
316 sqm,276,5,4,Large,1,1,Yes,2.2,1,22,0,6.3,2.23,1,256795
299 sqm,271,5,4,Large,1,1,Yes,1.5,1,13,0,6.8,4.01,3,254866
324 sqm,314,6,6,Large,1,1,Yes,6.9,1,7,0,5.1,0.67,3,273265
251 sqm,231,4,4,Large,1,1,Yes,6.8,1,21,0,6.9,3.02,2,209696
356 sqm,329,5,3,Large,1,0,Yes,0.8,1,13,0,1.6,1.82,1,300578
159 sqm,145,3,1,Large,1,0,No,5.7,0,10,0,2.3,4.66,1,103958
150 sqm,132,3,1,Large,0,1,No,2.3,1,15,0,3.4,3.39,2,125862
268 sqm,268,4,2,Large,1,1,Yes,3.3,0,1,0,2.8,3.05,2,227510
202 sqm,194,4,5,Large,1,0,Yes,3.9,0,5,0,6.8,3.02,2,165028
148 sqm,133,2,3,Large,1,0,Yes,1.9,0,14,0,0.3,5.62,1,122594
316 sqm,270,6,4,Large,1,1,Yes,0.1,1,20,0,2.5,2.87,1,288403
204 sqm,196,3,4,Large,1,0,No,4.7,0,13,0,1.8,5.58,2,146437
273 sqm,247,4,3,Large,1,1,Yes,3.5,1,3,0,2.9,1.12,3,249036
253 sqm,236,4,4,Small,1,0,Yes,6.3,1,13,0,5.5,3.53,2,203353
114 sqm,99,1,2,Large,1,1,No,1.1,0,14,0,5.2,2.89,1,102817
426 sqm,376,7,8,Large,1,1,Yes,1.4,1,14,0,2.8,4.56,2,356970
158 sqm,146,2,2,Large,1,0,No,3.7,1,9,0,6.1,2.02,1,127479
278 sqm,247,4,5,Large,1,1,Yes,5.6,0,20,0,2.8,4.41,2,209728
218 sqm,188,3,2,Small,1,0,No,3.1,0,15,0,2.3,1.68,2,156573
157 sqm,135,3,2,Large,0,0,No,5.5,0,16,0,5.8,3.11,2,100008
346 sqm,332,5,2,Large,1,0,No,5.9,1,2,0,1.2,2.07,1,282242
184 sqm,165,3,1,Large,0,0,No,0.4,1,19,0,0.4,1.65,1,164056
306 sqm,300,4,4,Large,1,1,Yes,3.5,1,17,0,6.1,4.21,3,240409
263 sqm,229,4,4,Large,1,1,Yes,2.9,1,20,0,3.9,4.75,3,221449
415 sqm,415,6,5,Large,1,1,Yes,6.2,1,21,0,6.1,2.94,3,306285
187 sqm,178,2,3,Small,0,0,Yes,2.1,0,12,0,6.8,4.07,1,133238
360 sqm,357,5,5,Large,0,1,Yes,5.6,1,22,0,5.4,5.87,3,272688
145 sqm,129,2,3,Small,0,0,No,6.1,0,10,0,5.1,4.53,1,83643
482 sqm,452,8,9,Large,1,1,Yes,0.4,1,15,0,6.5,3.25,3,408741
238 sqm,219,3,3,Small,1,0,Yes,4.6,1,8,0,3.1,0.93,1,203379
176 sqm,163,2,2,Small,1,1,No,1.8,1,2,0,0.8,3.34,0,156313
163 sqm,154,2,1,Small,0,0,No,1.7,0,11,0,5.5,2.67,1,110137
271 sqm,245,4,2,Large,1,1,No,2.1,1,15,0,5.9,3.35,2,218900
164 sqm,140,2,2,Small,1,0,No,5.5,1,12,0,3.3,0.13,1,130932
245 sqm,214,4,4,Large,1,1,Yes,3.8,0,7,0,5.7,4.29,3,188687
314 sqm,299,5,5,Large,1,1,Yes,6.3,1,1,0,5.7,5.44,2,262114
159 sqm,146,2,2,Large,0,0,No,4.3,0,17,0,0.1,0.28,1,116812
264 sqm,237,5,4,Large,1,0,Yes,6.4,1,16,0,5.1,0.67,2,227680
319 sqm,291,5,3,Large,1,1,Yes,0.2,1,6,0,0.9,2.85,3,290569
238 sqm,222,3,1,Large,1,1,No,4.9,1,7,0,1.5,5.8,2,195404
310 sqm,300,4,5,Large,1,1,Yes,5.5,0,7,0,6.9,0.16,2,246094
135 sqm,121,2,1,Small,0,0,No,1.7,0,17,0,4.2,3.15,1,93913
233 sqm,227,3,3,Small,0,1,No,1.8,0,19,0,1.8,4.31,2,162207
207 sqm,181,4,2,Large,1,1,Yes,6.2,1,13,0,1.8,5.7,2,181619
248 sqm,241,4,2,Large,1,1,Yes,4.8,0,11,0,2.2,5.32,3,181426
310 sqm,274,5,4,Small,1,1,Yes,1.4,1,19,0,2.8,1.42,2,271769
302 sqm,282,4,2,Large,1,1,Yes,2.6,0,9,0,1.6,2.82,3,236154
547 sqm,545,7,5,Large,1,1,Yes,1.5,1,3,0,1.1,2.78,2,475797
116 sqm,100,1,2,Large,1,0,No,0.6,0,9,0,6.7,0.94,2,105806
192 sqm,173,4,2,Large,1,0,Yes,0.4,1,14,0,6.9,4.59,3,164906
298 sqm,294,4,2,Large,1,0,Yes,2.6,1,9,0,2.9,1.6,3,261452
155 sqm,146,3,4,Large,1,0,No,5.9,0,16,0,2.3,2.98,2,115761
319 sqm,277,5,2,Large,1,1,Yes,0.3,1,11,0,6.1,0.75,2,300852
175 sqm,157,2,2,Small,1,0,Yes,1.7,0,4,0,5.3,4.28,1,137451
144 sqm,123,2,1,Small,1,1,No,3.8,1,13,0,2.9,1.61,1,128472
284 sqm,253,4,4,Large,1,1,Yes,4.2,1,16,0,2.8,4.55,2,245878
184 sqm,177,2,2,Large,0,1,No,0.1,0,11,0,6.8,0.36,0,147494
536 sqm,514,7,7,Large,1,1,Yes,5.9,1,3,0,6.6,0.22,2,446558
209 sqm,191,3,4,Large,1,0,Yes,3.2,0,4,0,1.8,5.17,1,168554
182 sqm,161,3,3,Small,0,0,No,5.8,0,4,0,4.6,4.23,1,110709
319 sqm,292,5,3,Small,1,1,Yes,5.9,1,17,0,5.1,5.65,2,256295
136 sqm,117,1,1,Large,0,0,No,3.2,0,19,0,2.4,4.64,2,87129
241 sqm,208,5,4,Large,1,1,Yes,4.5,0,18,0,6.9,2.73,2,197458
308 sqm,289,4,5,Large,1,1,Yes,3.8,1,16,0,3.6,2.75,3,253786
343 sqm,312,6,5,Large,1,1,Yes,4.9,1,12,0,1.6,2.08,3,283158
228 sqm,194,3,4,Large,1,0,No,0.6,1,16,0,0.6,2.25,2,192788
274 sqm,249,4,5,Small,1,0,Yes,6.3,1,14,0,5.5,4.1,3,219597
304 sqm,283,4,4,Large,1,1,Yes,5.3,1,6,0,3.4,0.7,2,269423
224 sqm,212,4,2,Large,1,1,Yes,1.6,0,8,0,0.3,3.25,2,201618
194 sqm,172,3,1,Large,1,1,No,5.5,1,6,0,0.7,1.78,1,172145
126 sqm,115,2,2,Small,0,0,Yes,5.5,0,19,0,5.1,4.16,1,89722
216 sqm,211,4,5,Large,0,1,Yes,1.9,1,13,0,4.4,5.04,2,181121
358 sqm,351,5,5,Large,1,1,Yes,1.6,0,6,0,4.8,3.61,2,284811
275 sqm,248,4,3,Large,1,1,No,0.1,1,14,0,6.2,3.49,2,240637
443 sqm,420,6,5,Large,1,1,Yes,1.2,1,11,0,2.8,2.73,3,376297
146 sqm,138,1,2,Small,1,0,Yes,5.4,0,14,0,2.7,1.9,1,115675
313 sqm,276,5,4,Large,1,1,Yes,1.7,1,6,0,0.8,1.57,3,279260
172 sqm,153,3,2,Large,1,1,No,0.4,1,20,0,1.8,2.65,1,164648
303 sqm,281,4,4,Large,1,1,Yes,1.7,1,21,0,5.6,1.87,3,251792
285 sqm,251,4,5,Large,1,1,Yes,2.4,1,4,0,0.5,3.75,2,265626
435 sqm,393,7,7,Large,1,1,Yes,0.1,1,18,0,1.6,0.78,3,381309
149 sqm,146,2,3,Large,0,0,No,2.5,0,5,0,1.8,0.23,0,115233
181 sqm,157,3,4,Small,0,0,No,5.9,0,3,0,4.8,3.63,2,119394
160 sqm,150,3,4,Large,1,1,No,0.4,0,19,0,2.3,5.45,1,129259
203 sqm,185,3,2,Small,0,0,Yes,1.9,1,7,0,0.2,4.87,2,179057
278 sqm,275,4,3,Large,1,1,Yes,5.2,1,6,0,0.3,0.73,3,249285
360 sqm,331,5,5,Large,1,1,Yes,5.4,1,10,0,6.8,2.19,2,301413
228 sqm,202,4,4,Large,1,1,Yes,4.2,1,11,1,2.3,1.53,3,231245
241 sqm,206,5,5,Small,1,1,Yes,5.1,1,14,0,6.7,1.65,1,216512
244 sqm,212,5,2,Large,1,1,Yes,4.4,1,16,0,2.1,5.71,2,212898
276 sqm,273,5,5,Large,0,1,Yes,2.7,1,5,0,2.2,4.35,3,221348
190 sqm,188,3,2,Large,0,0,No,2.7,0,4,0,4.1,4.39,2,136329
136 sqm,133,2,1,Large,0,0,No,1.6,0,5,0,1.2,2.31,1,104669
109 sqm,108,1,2,Large,0,0,No,0.8,0,1,0,2.5,2.29,1,82881
147 sqm,139,1,1,Small,0,0,No,5.6,0,19,0,4.8,5.36,0,71717
107 sqm,97,1,1,Large,0,0,No,5.1,1,8,0,1.4,4.32,1,73450
114 sqm,109,1,1,Large,0,0,No,0.9,0,22,0,4.9,5.76,1,70777
310 sqm,281,4,5,Large,1,1,No,3.8,0,16,0,6.7,3.52,2,219431
325 sqm,295,5,5,Large,1,1,Yes,3.6,1,10,0,1.2,1.16,2,288138
204 sqm,186,4,3,Large,1,1,Yes,1.3,0,10,0,0.7,2.75,2,181943
177 sqm,170,3,3,Large,0,0,No,2.3,0,13,0,5.3,1.51,2,129905
230 sqm,197,4,4,Large,1,1,Yes,3.8,1,12,0,3.7,5.41,2,212158
234 sqm,226,3,1,Large,0,0,No,4.4,0,14,0,2.8,2.45,1,154845
268 sqm,256,4,5,Large,1,1,Yes,0.5,1,10,0,6.4,3.4,3,231871
231 sqm,198,4,5,Large,1,1,Yes,0.1,1,19,0,3.5,0.98,3,225640
234 sqm,225,4,2,Large,1,1,Yes,6.9,1,1,0,6.9,0.9,2,211444
126 sqm,118,1,1,Small,1,0,No,5.1,0,9,0,1.1,2.41,1,85554
198 sqm,179,3,1,Large,1,0,No,3.5,0,15,0,2.9,2.45,2,141695
209 sqm,195,4,3,Large,1,0,No,4.9,1,21,0,4.9,3.27,3,150445
254 sqm,239,4,3,Large,1,1,No,1.9,0,2,0,6.2,1.73,2,201349
321 sqm,295,5,3,Large,1,1,Yes,1.6,1,20,0,4.5,2.41,3,265640
453 sqm,387,7,6,Large,1,1,Yes,0.1,1,17,1,3.8,3.69,3,415436
111 sqm,95,1,2,Small,0,0,No,5.3,0,19,0,6.8,1.84,0,64436
224 sqm,195,3,1,Large,1,0,No,6.2,0,22,0,4.4,4.64,2,140373
219 sqm,211,3,1,Small,1,0,Yes,3.6,0,16,0,5.3,4.04,2,163438
122 sqm,111,2,3,Small,1,0,No,4.9,0,4,0,5.2,0.51,0,90524
230 sqm,208,3,3,Small,1,0,No,3.2,0,21,0,1.8,0.78,1,156980
279 sqm,264,4,3,Large,1,1,No,4.3,1,22,0,6.6,2.4,2,215539
264 sqm,261,5,5,Large,0,1,Yes,4.9,0,15,0,0.2,2.02,2,212305
295 sqm,262,4,4,Large,1,1,Yes,0.4,1,17,0,0.4,1.82,2,292782
267 sqm,228,4,3,Large,1,1,Yes,1.3,0,14,0,5.2,2.29,3,217326
278 sqm,274,5,4,Large,1,1,Yes,4.5,1,13,0,3.7,2.3,3,230561
155 sqm,153,2,3,Small,0,0,Yes,3.4,0,20,0,1.9,4.38,1,116316
159 sqm,156,3,1,Large,0,0,No,2.2,1,15,0,5.7,1.17,1,123867
228 sqm,197,4,5,Large,1,0,Yes,3.4,1,15,0,2.5,3.26,3,187456
183 sqm,182,3,3,Large,0,0,Yes,0.4,1,11,0,2.4,5.33,2,160743
217 sqm,188,3,1,Large,0,0,Yes,3.9,0,20,0,1.5,2.49,2,168356
253 sqm,252,5,2,Large,1,1,Yes,1.6,1,15,0,6.5,3.32,3,211228
167 sqm,161,3,1,Large,0,0,Yes,0.7,0,1,0,0.6,5.11,2,156071
175 sqm,168,3,3,Large,1,0,Yes,0.6,1,1,0,0.8,2.81,2,185341
215 sqm,210,4,5,Large,1,1,Yes,2.6,1,17,1,0.5,0.59,2,232241
304 sqm,301,5,4,Large,1,1,Yes,1.8,1,18,0,3.1,3.25,3,255607
155 sqm,147,3,3,Small,0,0,No,1.3,0,16,0,5.6,4.67,2,103359
177 sqm,165,3,4,Small,0,0,Yes,2.9,0,13,0,1.7,5.23,1,124413
204 sqm,179,4,2,Large,1,0,Yes,0.7,0,10,0,5.6,1.2,3,172629
303 sqm,303,4,5,Large,0,1,Yes,0.8,1,11,1,1.1,3.99,3,296568
316 sqm,307,5,3,Large,1,1,Yes,5.7,1,21,0,4.5,3.12,3,250936
337 sqm,313,5,3,Large,1,1,No,2.8,0,4,0,4.2,3.59,3,241149
340 sqm,338,5,3,Large,0,1,No,3.7,1,18,0,3.9,0.61,1,257585
223 sqm,214,3,3,Small,1,0,Yes,3.7,0,14,0,2.2,3.35,2,172756
109 sqm,108,1,1,Large,0,0,No,6.4,0,2,0,1.4,0.99,0,82244
267 sqm,259,4,4,Small,1,1,Yes,3.1,1,11,1,4.9,2.63,2,271271
131 sqm,124,1,1,Small,1,0,No,0.6,0,13,0,1.5,1.53,2,111565
101 sqm,87,1,1,Large,0,0,No,1.2,0,8,0,3.1,0.48,0,80092
232 sqm,200,3,3,Small,0,0,No,5.7,0,4,0,1.6,4.49,2,149711
224 sqm,191,4,4,Large,1,1,Yes,5.6,1,13,0,4.1,2.22,2,201581
100 sqm,87,1,1,Large,1,1,No,0.2,0,20,0,4.7,3.45,1,96547
285 sqm,275,4,5,Large,1,1,Yes,5.7,1,20,0,6.6,3.11,3,224701
157 sqm,152,2,2,Small,0,0,No,6.9,0,15,0,1.5,5.06,1,87437
342 sqm,301,5,2,Small,1,1,No,0.4,1,9,0,5.5,3.71,1,278329
145 sqm,145,2,2,Small,0,0,No,1.5,1,20,0,1.4,4.89,1,102921
137 sqm,129,2,2,Small,1,1,No,6.9,0,17,0,3.8,5.57,0,85400
223 sqm,190,3,1,Large,0,0,No,0.2,0,8,0,2.5,4.49,2,161162
217 sqm,210,3,1,Large,1,0,No,3.4,1,18,0,3.3,4.46,2,162015
178 sqm,168,2,2,Large,1,0,Yes,5.5,0,9,0,0.1,2.95,0,148634
199 sqm,177,4,2,Small,1,1,No,0.6,1,10,0,2.9,5.43,2,165907
209 sqm,199,3,1,Small,1,1,No,4.4,1,12,0,1.1,2.17,2,172891
281 sqm,255,5,2,Small,1,1,Yes,5.4,0,22,0,4.4,2.81,1,207920
159 sqm,156,3,1,Small,0,0,No,0.1,0,16,0,1.6,5.97,1,113246
238 sqm,204,3,2,Large,1,0,No,3.4,0,17,0,3.3,1.12,2,163833
235 sqm,206,5,5,Large,1,1,Yes,5.5,1,20,0,5.4,5.02,1,192213
153 sqm,135,3,2,Small,1,0,No,1.7,1,12,0,3.8,1.48,1,129090
135 sqm,126,1,2,Large,1,0,Yes,2.5,0,1,0,0.8,0.95,1,135263
148 sqm,144,2,3,Small,0,0,No,0.7,0,12,0,4.1,4.44,1,98980
183 sqm,166,3,2,Large,1,1,No,0.2,1,6,0,3.7,2.27,2,183046
258 sqm,245,4,4,Large,1,1,Yes,4.6,1,8,0,5.6,2.22,2,230865
153 sqm,140,2,1,Large,1,1,No,2.4,0,4,0,4.9,2.95,0,128278
211 sqm,206,3,4,Small,0,1,No,2.3,0,18,0,1.3,1.57,2,151365
283 sqm,280,4,3,Large,0,1,No,0.6,1,8,0,4.9,3.85,3,228272
212 sqm,196,4,2,Small,1,1,Yes,0.3,1,7,0,3.3,0.58,2,220339
311 sqm,299,5,5,Large,1,1,Yes,2.9,1,16,0,1.2,3.53,1,256993
120 sqm,119,1,1,Small,0,0,No,4.1,0,2,0,2.3,3.21,0,75536
299 sqm,288,4,5,Large,1,1,Yes,2.5,1,16,0,4.8,2.36,3,250477
240 sqm,220,3,1,Large,1,0,Yes,4.9,1,10,0,3.4,4.07,2,201043
311 sqm,303,5,3,Large,1,1,Yes,0.9,1,3,1,5.7,1.41,3,318931
219 sqm,191,4,2,Large,1,0,Yes,0.7,1,20,0,0.7,5.63,3,184831
308 sqm,270,6,4,Large,1,1,Yes,3.2,1,21,0,3.6,5.45,1,250537
188 sqm,185,2,3,Large,0,0,Yes,6.5,0,13,0,0.1,0.46,1,149566
165 sqm,154,2,1,Small,1,0,Yes,0.8,0,9,0,4.1,4.47,1,141016
257 sqm,228,5,3,Large,1,1,Yes,6.8,1,19,0,6.5,4.99,3,206517
328 sqm,321,6,6,Large,1,1,Yes,1.3,1,20,0,5.2,0.58,3,279364
119 sqm,119,1,1,Large,0,0,No,5.1,0,8,0,3.4,5.49,0,67615
194 sqm,185,3,3,Large,1,0,No,0.7,0,19,0,0.8,2.68,2,154925
301 sqm,274,5,5,Large,1,1,Yes,6.1,0,5,0,2.4,4.54,2,231892
291 sqm,287,4,3,Large,1,1,Yes,4.8,1,4,0,2.7,2.39,2,256277
263 sqm,263,4,5,Large,0,1,Yes,4.4,1,10,0,0.1,1.13,2,229915
192 sqm,168,3,2,Large,1,0,No,3.3,1,4,0,6.7,2.21,1,151026
224 sqm,220,4,2,Large,0,1,Yes,3.2,1,21,0,5.4,1.79,3,178730
296 sqm,284,5,2,Large,1,1,Yes,3.1,1,22,0,1.9,2.3,2,250799
221 sqm,202,4,4,Small,1,1,Yes,2.3,0,19,0,1.8,4.23,2,173213
288 sqm,274,5,5,Large,1,1,Yes,3.5,1,20,0,5.1,1.88,3,239901
121 sqm,120,1,1,Small,0,0,No,2.5,0,14,0,3.7,0.8,2,90895
238 sqm,237,4,2,Large,1,1,No,2.8,0,11,0,2.1,3.72,2,175307
239 sqm,206,3,1,Large,1,1,No,3.9,0,14,0,4.2,1.85,1,182297
224 sqm,207,3,1,Small,0,0,No,6.1,0,10,0,2.7,1.32,2,156048
235 sqm,221,5,5,Large,1,1,Yes,3.1,1,12,0,1.9,5.32,2,215561
209 sqm,202,3,3,Large,1,0,Yes,4.9,1,2,0,1.9,0.18,2,199622
215 sqm,205,3,4,Small,0,1,No,1.1,0,18,0,2.3,4.66,1,141600
246 sqm,217,5,5,Large,1,1,No,4.3,1,5,0,0.3,1.58,1,216270
298 sqm,272,4,3,Small,1,1,Yes,6.7,1,4,0,0.1,3.19,3,248202
268 sqm,229,5,5,Large,1,1,Yes,5.3,1,13,0,5.6,4.53,2,225494
257 sqm,240,5,2,Small,1,1,No,3.9,1,19,0,2.5,4.71,2,193878
306 sqm,271,6,5,Large,1,1,Yes,6.3,1,13,0,3.2,4.98,1,246097
162 sqm,143,3,2,Small,0,0,Yes,4.7,1,7,0,2.8,4.48,1,125775
293 sqm,283,4,3,Large,1,1,Yes,4.2,1,19,0,3.8,5.9,3,231256
470 sqm,425,7,8,Large,1,1,Yes,1.1,1,10,0,5.7,5.4,3,378844
258 sqm,238,4,3,Large,1,1,Yes,2.8,0,4,0,4.9,4.57,2,204411
112 sqm,111,1,2,Small,0,0,No,3.7,0,6,0,4.8,4.94,2,74106
153 sqm,138,2,1,Small,1,0,No,3.5,0,10,0,2.3,3.2,0,106522
169 sqm,160,3,4,Large,1,0,No,5.3,1,17,0,6.8,2.27,2,126446
276 sqm,258,5,4,Large,1,1,Yes,5.5,0,14,0,2.5,2.28,3,207402
253 sqm,216,4,4,Large,1,1,Yes,4.3,1,8,0,5.2,1.29,2,240535
293 sqm,261,5,5,Large,1,1,Yes,5.5,0,9,0,1.5,0.85,3,231463
337 sqm,332,5,3,Large,1,1,Yes,0.4,1,18,0,5.3,0.55,3,292304
163 sqm,161,3,2,Large,0,0,Yes,6.8,0,6,0,4.7,3.37,1,121828
100 sqm,97,1,1,Small,0,0,Yes,3.4,0,21,1,2.3,3.51,0,88738
217 sqm,189,4,2,Large,1,1,No,6.2,1,5,0,0.6,5.73,2,178056
132 sqm,128,2,3,Small,0,0,Yes,1.6,1,13,0,0.9,5.21,1,123825
294 sqm,261,5,2,Large,1,1,Yes,1.1,0,10,0,4.8,0.63,1,245354
228 sqm,200,4,2,Large,1,1,No,2.1,1,15,0,3.6,0.07,3,192083
232 sqm,221,5,5,Large,1,1,Yes,5.1,1,9,1,5.1,4.19,1,216194
122 sqm,112,2,3,Small,0,0,No,5.5,1,15,0,6.4,5.45,0,73360
305 sqm,298,5,5,Large,1,1,Yes,3.6,1,13,0,6.4,3.25,3,241137
218 sqm,209,4,4,Large,1,0,Yes,4.5,1,14,0,4.9,3.85,2,182067
465 sqm,401,7,8,Large,1,1,Yes,1.7,1,20,0,2.2,5.01,2,386579
189 sqm,167,2,2,Small,1,0,No,5.6,0,22,0,3.9,0.28,0,124708
300 sqm,261,4,3,Large,1,1,Yes,1.6,1,20,0,3.6,5.15,3,252768
206 sqm,186,3,2,Large,1,0,Yes,4.5,0,2,0,5.1,4.49,2,160033
331 sqm,316,5,5,Large,1,0,No,3.9,1,8,0,6.9,4.19,3,242718
190 sqm,165,2,3,Large,1,0,Yes,6.1,0,1,0,1.7,3.24,1,147152
273 sqm,244,4,2,Large,1,1,Yes,6.8,1,18,0,1.7,1.52,2,237672
255 sqm,236,5,4,Large,1,1,Yes,4.6,1,10,0,6.2,0.58,3,217473
129 sqm,116,2,3,Small,1,0,Yes,5.2,0,17,0,5.2,2.19,0,96182
259 sqm,254,5,5,Large,0,1,Yes,0.2,1,14,0,6.3,1.03,3,237434
489 sqm,486,7,4,Large,1,1,Yes,6.6,1,3,0,2.7,5.9,3,382425
341 sqm,299,6,7,Large,1,1,Yes,4.3,1,16,0,4.2,0.33,1,293132
306 sqm,263,4,5,Large,1,1,Yes,5.3,0,22,0,3.2,0.12,2,240768
276 sqm,248,4,2,Large,1,1,Yes,0.4,1,19,0,2.7,3.09,2,259464
371 sqm,336,6,4,Large,1,1,Yes,3.1,1,1,0,3.4,4.24,1,312436
128 sqm,128,1,1,Small,0,0,No,1.7,0,10,0,5.8,5.85,1,83042
264 sqm,237,5,4,Large,1,0,Yes,1.5,1,3,0,1.5,5.38,3,221468
419 sqm,419,7,6,Large,1,1,Yes,6.5,1,19,0,1.6,2.39,3,327107
138 sqm,118,1,1,Small,1,0,No,3.7,0,17,0,5.2,3.81,1,90720
192 sqm,185,3,1,Large,0,1,No,0.6,0,11,0,2.6,1.3,2,152412
105 sqm,105,1,2,Small,0,0,No,2.8,1,17,0,2.6,2.22,1,78873
219 sqm,202,4,5,Large,1,0,Yes,3.9,1,9,0,2.5,5.77,2,180352
315 sqm,274,5,3,Large,1,1,Yes,1.6,1,17,0,0.6,4.96,1,273502
214 sqm,184,3,1,Large,1,0,No,3.7,1,17,0,5.8,5.12,1,152220
277 sqm,249,4,4,Large,1,1,No,1.2,0,8,0,1.4,5.7,3,200606
261 sqm,237,5,5,Large,1,1,Yes,2.5,1,17,0,1.5,4.34,3,221553
220 sqm,217,4,2,Large,1,0,Yes,3.3,0,19,0,1.4,1.77,3,173369
300 sqm,270,4,5,Small,1,1,No,4.3,1,22,0,0.6,1.06,3,231101
264 sqm,259,4,4,Small,1,1,Yes,4.7,1,6,0,1.9,5.24,2,230616
193 sqm,183,4,4,Small,1,1,No,1.5,1,20,1,6.3,1.87,2,183158
317 sqm,271,5,3,Large,1,1,Yes,5.7,1,9,0,3.6,1.76,2,288965
293 sqm,292,4,3,Small,1,1,Yes,2.9,1,13,0,5.4,4.49,2,241528
263 sqm,228,5,5,Large,1,1,Yes,4.6,1,21,0,5.3,5.87,1,216406
222 sqm,189,3,1,Small,1,0,Yes,3.3,0,11,0,6.7,2.19,2,169559
192 sqm,185,4,3,Large,1,1,Yes,1.3,1,2,0,0.6,4.27,3,184908
315 sqm,313,6,4,Large,1,1,Yes,1.9,1,6,0,3.7,4.94,2,274723
126 sqm,122,1,2,Small,0,0,No,5.1,0,12,0,1.4,4.62,0,75828
297 sqm,276,4,3,Large,1,1,Yes,5.3,1,15,0,5.8,5.59,3,225792
169 sqm,157,2,2,Large,0,0,Yes,0.6,1,11,0,3.4,2.33,0,152298
246 sqm,232,4,3,Large,1,1,Yes,3.1,1,6,0,4.8,1.27,3,219305
238 sqm,205,3,1,Large,1,0,No,3.3,0,10,0,3.5,5.74,2,160220
308 sqm,307,4,4,Large,1,1,No,4.8,1,17,0,2.2,0.55,3,238977
228 sqm,209,4,2,Small,1,1,Yes,6.5,1,2,0,4.5,4.78,3,190044
296 sqm,273,4,3,Small,1,1,No,3.1,1,18,0,2.5,1.45,2,233797
272 sqm,246,4,2,Large,1,0,Yes,5.8,1,3,0,2.1,1.69,3,226347
301 sqm,272,5,2,Large,1,1,Yes,4.1,1,21,0,0.4,5.41,1,245213
231 sqm,220,4,4,Large,1,1,Yes,3.3,0,11,0,4.5,3.9,3,179763
238 sqm,216,5,5,Large,1,1,Yes,4.4,1,8,0,0.2,2.32,1,218460
172 sqm,160,3,3,Small,0,0,No,2.7,1,15,0,3.8,0.44,2,138752
281 sqm,266,4,2,Large,1,1,Yes,4.6,0,5,1,5.4,0.86,2,266269
197 sqm,174,4,5,Large,1,1,Yes,4.1,1,5,0,2.3,1.77,2,194401
331 sqm,299,5,5,Large,1,1,No,4.3,1,5,0,3.9,5.65,2,252736
249 sqm,219,5,3,Large,1,1,Yes,6.5,1,22,0,5.7,2.88,1,207721
161 sqm,161,3,1,Large,0,1,No,3.7,1,13,0,6.4,0.72,1,129477
587 sqm,515,7,8,Large,1,1,Yes,1.1,1,4,0,3.9,2.04,2,512959
135 sqm,127,1,1,Small,0,0,No,4.4,0,17,0,1.9,2.25,0,86996
136 sqm,118,2,3,Large,1,0,No,5.4,0,5,0,1.9,3.58,2,96165
214 sqm,194,3,2,Large,1,0,No,3.8,0,5,0,3.1,5.42,1,143314
231 sqm,224,3,4,Large,1,1,No,4.1,0,12,0,3.3,2.16,1,173690
255 sqm,253,4,4,Large,1,1,Yes,2.9,1,3,0,2.8,0.06,3,236998
192 sqm,174,4,3,Large,1,1,Yes,5.7,1,16,0,1.4,3.66,2,181087
187 sqm,163,2,1,Large,1,0,No,1.9,0,11,0,0.7,3.69,0,135139
224 sqm,205,4,3,Large,1,0,Yes,5.3,1,3,0,1.8,1.71,2,206264
275 sqm,249,4,5,Large,1,0,Yes,3.5,0,10,0,1.3,5.19,3,199150
